종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"036810","에프에스티","KOSDAQ","반도체","22400","-600","-2.61","487352073600"
"173940","에프엔씨엔터","KOSDAQ","오락·문화","10100","-300","-2.88","145085288000"
"083500","에프엔에스테크","KOSDAQ","기계·장비","10750","150","1.42","91275261500"
"054940","엑사이엔씨","KOSDAQ","건설","1370","-60","-4.20","45447760760"
"950130","엑세스바이오","KOSDAQ","제약","15600","200","1.30","566522221200"
"205100","엑셈","KOSDAQ","소프트웨어","4980","105","2.15","174958719540"
"070300","엑스큐어","KOSDAQ","소프트웨어","3870","-30","-0.77","28506706380"
"092870","엑시콘","KOSDAQ","반도체","13200","-250","-1.86","138284876400"
"317870","엔바이오니아","KOSDAQ","기타제조","13900","-200","-1.42","106794464500"
"067570","엔브이에이치코리아","KOSDAQ","운송장비·부품","4700","-35","-0.74","154276146400"
"236810","엔비티","KOSDAQ","기타서비스","19050","-850","-4.27","161690932650"
"333620","엔시스","KOSDAQ","일반전기전자","19100","-100","-0.52","201626170400"
"101400","엔시트론","KOSDAQ","반도체","1030","-10","-0.96","44495055490"
"217820","엔에스","KOSDAQ","기계·장비","11800","-350","-2.88","135856196600"
"031860","엔에스엔","KOSDAQ","유통","1620","-100","-5.81","112122484200"
"365590","엔에이치스팩18호","KOSDAQ","금융","2215","-5","-0.23","10189000000"
"391060","엔에이치스팩20호","KOSDAQ","금융","2160","0","0.00","55080000000"
"391710","엔에이치스팩21호","KOSDAQ","금융","2635","-25","-0.94","19657100000"
"396770","엔에이치스팩22호","KOSDAQ","금융","2200","0","0.00","14168000000"
"265740","엔에프씨","KOSDAQ","화학","14150","-50","-0.35","126384970000"
"354200","엔젠바이오","KOSDAQ","기타서비스","11650","-150","-1.27","144820124800"
"208860","엔지스테크널러지","KOSDAQ","소프트웨어","2205","0","0.00","25233717915"
"183490","엔지켐생명과학","KOSDAQ","제약","22400","-1050","-4.48","312116403200"
"182400","엔케이맥스","KOSDAQ","제약","21600","500","2.37","844793971200"
"348370","엔켐","KOSDAQ","화학","89300","-600","-0.67","1358541885500"
"069410","엔텔스","KOSDAQ","소프트웨어","8370","-150","-1.76","85749176880"
"227950","엔투텍","KOSDAQ","기계·장비","1650","20","1.23","150588000750"
"291230","엔피","KOSDAQ","기타서비스","10800","-400","-3.57","431997926400"
"198080","엔피디","KOSDAQ","IT부품","3010","-70","-2.27","64820906850"
"048830","엔피케이","KOSDAQ","화학","2270","5","0.22","42503305210"
"096870","엘디티","KOSDAQ","반도체","4980","-100","-1.97","33258432000"
"376190","엘비루셈","KOSDAQ","반도체","10500","-150","-1.41","258300000000"
"061970","엘비세미콘","KOSDAQ","반도체","11800","-150","-1.26","516658185600"
"138690","엘아이에스","KOSDAQ","반도체","1760","-55","-3.03","40952137600"
"290650","엘앤씨바이오","KOSDAQ","제약","41200","50","0.12","934617509200"
"066970","엘앤에프","KOSDAQ","IT부품","245700","-100","-0.04","8827906651200"
"156100","엘앤케이바이오","KOSDAQ","의료·정밀기기","11150","-100","-0.89","149329084450"
"073110","엘엠에스","KOSDAQ","IT부품","9070","100","1.11","80684497850"
"083310","엘오티베큠","KOSDAQ","반도체","15100","400","2.72","268931498300"
"037950","엘컴텍","KOSDAQ","IT부품","1505","-45","-2.90","127093516095"
"170920","엘티씨","KOSDAQ","반도체","11250","-100","-0.88","90217833750"
"058630","엠게임","KOSDAQ","디지털컨텐츠","10600","-200","-1.85","207165096200"
"058970","엠로","KOSDAQ","소프트웨어","18950","-100","-0.52","206974174000"
"019590","엠벤처투자","KOSDAQ","금융","1705","10","0.59","137392489025"
"169330","엠브레인","KOSDAQ","기타서비스","4680","5","0.11","83944776240"
"179290","엠아이텍","KOSDAQ","의료·정밀기기","10100","430","4.45","316860411800"
"009780","엠에스씨","KOSDAQ","음식료·담배","7300","-60","-0.82","128480000000"
"123040","엠에스오토텍","KOSDAQ","운송장비·부품","5650","-80","-1.40","246364464500"
"323230","엠에프엠코리아","KOSDAQ","섬유·의류","1375","-15","-1.08","41623532500"
"033160","엠케이전자","KOSDAQ","반도체","16050","-100","-0.62","350013408450"
"347890","엠투아이","KOSDAQ","정보기기","9270","-80","-0.86","155719351080"
"033310","엠투엔","KOSDAQ","금속","6180","-10","-0.16","249314987580"
"259630","엠플러스","KOSDAQ","기계·장비","20250","-400","-1.94","247277427750"
"065150","엠피대산","KOSDAQ","유통","818","-16","-1.92","102481007290"
"115960","연우","KOSDAQ","화학","25600","400","1.59","317388800000"
"090740","연이비앤티","KOSDAQ","IT부품","2105","0","0.00","40260402610"
"060850","영림원소프트랩","KOSDAQ","소프트웨어","9960","-30","-0.30","80984760000"
"007530","영신금속","KOSDAQ","금속","3200","-10","-0.31","61358246400"
"143540","영우디에스피","KOSDAQ","반도체","2315","-10","-0.43","103248756925"
"036560","영풍정밀","KOSDAQ","기계·장비","9990","-60","-0.60","157342500000"
"265560","영화테크","KOSDAQ","운송장비·부품","17900","-850","-4.53","191354222000"
"036000","예림당","KOSDAQ","출판·매체복제","2450","-30","-1.21","56433978650"
"250930","예선테크","KOSDAQ","화학","1955","-15","-0.76","64515860200"
"053280","예스24","KOSDAQ","인터넷","8610","-270","-3.04","215250000000"
"122640","예스티","KOSDAQ","반도체","10600","100","0.95","183285967400"
"900300","오가닉티코스메틱","KOSDAQ","금융","428","11","2.64","51504248412"
"045060","오공","KOSDAQ","화학","4305","-15","-0.35","72935198070"
"080520","오디텍","KOSDAQ","반도체","7550","-120","-1.56","88686897950"
"039830","오로라","KOSDAQ","기타서비스","10600","100","0.95","114086634000"
"322310","오로스테크놀로지","KOSDAQ","기계·장비","22650","-100","-0.44","212152176300"
"046120","오르비텍","KOSDAQ","기타서비스","7200","-60","-0.83","194895532800"
"014940","오리엔탈정공","KOSDAQ","기계·장비","3765","-30","-0.79","171584833665"
"065500","오리엔트정공","KOSDAQ","운송장비·부품","1910","-45","-2.30","60628961920"
"010470","오리콤","KOSDAQ","기타서비스","8000","440","5.82","95800400000"
"352910","오비고","KOSDAQ","소프트웨어","15000","150","1.01","171762270000"
"053980","오상자이엘","KOSDAQ","컴퓨터서비스","7220","-60","-0.82","128139708040"
"052420","오성첨단소재","KOSDAQ","IT부품","2150","0","0.00","155160649600"
"241790","오션브릿지","KOSDAQ","반도체","15500","600","4.03","155040827000"
"039200","오스코텍","KOSDAQ","제약","25750","-500","-1.90","777818018750"
"226400","오스테오닉","KOSDAQ","의료·정밀기기","3505","-20","-0.57","60073435770"
"031510","오스템","KOSDAQ","운송장비·부품","2445","60","2.52","68460000000"
"048260","오스템임플란트","KOSDAQ","의료·정밀기기","142700","0","0.00","2038571815900"
"138080","오이솔루션","KOSDAQ","통신장비","28600","-500","-1.72","303849117000"
"080580","오킨스전자","KOSDAQ","반도체","26000","0","0.00","459661748000"
"067170","오텍","KOSDAQ","운송장비·부품","10000","-50","-0.50","153916050000"
"353590","오토앤","KOSDAQ","유통","19400","100","0.52","249786058000"
"173130","오파스넷","KOSDAQ","소프트웨어","5640","-20","-0.35","66892825200"
"049480","오픈베이스","KOSDAQ","컴퓨터서비스","3545","-35","-0.98","111392347735"
"309930","오하임아이엔티","KOSDAQ","유통","4610","-75","-1.60","97816925420"
"244460","올리패스","KOSDAQ","제약","8180","-150","-1.80","217862741660"
"226950","올릭스","KOSDAQ","기타서비스","21900","-800","-3.52","300099204000"
"057540","옴니시스템","KOSDAQ","의료·정밀기기","2260","-20","-0.88","104975542300"
"082210","옵트론텍","KOSDAQ","IT부품","7050","-120","-1.67","172611812250"
"109080","옵티시스","KOSDAQ","통신장비","16100","-400","-2.42","90739600000"
"153710","옵티팜","KOSDAQ","제약","10500","100","0.96","153189309000"
"321820","와이더플래닛","KOSDAQ","출판·매체복제","13450","0","0.00","92916392900"
"122990","와이솔","KOSDAQ","반도체","11550","-150","-1.28","325559168550"
"232140","와이아이케이","KOSDAQ","반도체","5460","-100","-1.80","447967611000"
"065530","와이어블","KOSDAQ","통신서비스","2825","-75","-2.59","149329500000"
"067900","와이엔텍","KOSDAQ","기타서비스","13300","-450","-3.27","242055464700"
"155650","와이엠씨","KOSDAQ","IT부품","7470","50","0.67","149208454260"
"273640","와이엠텍","KOSDAQ","일반전기전자","38100","-450","-1.17","208902300000"
"251370","와이엠티","KOSDAQ","화학","21550","0","0.00","325418727350"
"066430","와이오엠","KOSDAQ","유통","3200","75","2.40","52513171200"
"193250","와이제이엠게임즈","KOSDAQ","IT부품","3000","-115","-3.69","171925677000"
"273060","와이즈버즈","KOSDAQ","기타서비스","1755","-40","-2.23","88539695595"
"019210","와이지-원","KOSDAQ","금속","9050","40","0.44","276693061950"
"122870","와이지엔터테인먼트","KOSDAQ","오락·문화","56700","-1700","-2.91","1053914028300"
"332570","와이팜","KOSDAQ","IT부품","5860","-60","-1.01","217648346160"
"079000","와토스코리아","KOSDAQ","화학","7300","90","1.25","52560000000"
"032820","우리기술","KOSDAQ","일반전기전자","2295","-50","-2.13","336088734435"
"041190","우리기술투자","KOSDAQ","금융","8270","-180","-2.13","694680000000"
"115440","우리넷","KOSDAQ","통신장비","10850","-150","-1.36","104466892250"
"046970","우리로","KOSDAQ","유통","1910","0","0.00","61214800940"
"082850","우리바이오","KOSDAQ","일반전기전자","4600","-110","-2.34","219671058800"
"215360","우리산업","KOSDAQ","운송장비·부품","18500","-150","-0.80","168945015500"
"072470","우리산업홀딩스","KOSDAQ","운송장비·부품","4890","-60","-1.21","92359097490"
"073560","우리손에프앤지","KOSDAQ","음식료·담배","2555","35","1.39","176902177865"
"153490","우리이앤엘","KOSDAQ","반도체","1725","-40","-2.27","88803000000"
"037400","우리조명","KOSDAQ","유통","3260","-50","-1.51","85488107960"
"101170","우림피티에스","KOSDAQ","기계·장비","4970","-50","-1.00","67095000000"
"066590","우수AMS","KOSDAQ","운송장비·부품","3950","-60","-1.50","141865178250"
"103840","우양","KOSDAQ","음식료·담배","5820","270","4.86","82981560000"
"046940","우원개발","KOSDAQ","건설","5550","-50","-0.89","100312642500"
"215380","우정바이오","KOSDAQ","기타서비스","4880","-30","-0.61","62819439680"
"065680","우주일렉트로","KOSDAQ","IT부품","28200","-400","-1.40","280145004000"
"018620","우진비앤지","KOSDAQ","제약","2495","280","12.64","72078786035"
"307280","원바이오젠","KOSDAQ","제약","1810","15","0.84","65982478480"
"053080","원방테크","KOSDAQ","기계·장비","12250","-100","-0.81","159247635750"
"032940","원익","KOSDAQ","유통","4950","0","0.00","90056488500"
"240810","원익IPS","KOSDAQ","반도체","39700","-1150","-2.82","1948630869700"
"074600","원익QnC","KOSDAQ","비금속","30750","650","2.16","808356000000"
"104830","원익머트리얼즈","KOSDAQ","반도체","37300","-200","-0.53","470278400000"
